cgpa,lc_easy,lc_medium,lc_hard,contest_rating,projects,internships,communication,hire_ready_score
9.08,310,183,16,606,0,0,3,37.36
6.75,464,140,13,713,1,4,5,52.31
6.67,51,198,70,789,4,0,1,50.86
9.59,263,250,18,1762,4,1,10,64.56
8.25,377,136,80,1166,3,0,5,59.14
9.07,66,71,5,878,3,3,9,51.24
9.18,102,104,53,1219,5,0,1,54.47
7.69,136,300,2,623,3,1,4,47.17
9.99,442,159,31,2126,3,2,3,65.73
6.57,474,253,8,1526,5,2,3,62.45
6.92,293,92,46,844,3,2,6,53.71
8.44,492,65,71,2213,3,1,7,65.77
8.83,191,107,43,1235,2,4,1,59.5
6.91,57,296,33,708,5,1,5,56.84
8.33,97,49,0,1379,2,3,9,47.44
8.91,346,93,50,9,5,3,8,66.74
7.24,226,101,64,85,0,3,3,47.23
9.74,410,211,2,1245,2,1,3,51.09
9.83,179,128,76,376,2,2,6,59.9
8.98,339,142,23,410,1,3,3,50.77
9.23,393,214,15,2462,1,2,2,57.47
8.3,368,295,58,1668,0,0,2,52.83
7.2,457,8,25,670,2,2,9,47.4
9.84,288,37,37,1142,2,2,4,52.77
7.66,300,1,51,1976,2,0,2,44.63
8.82,33,275,6,516,0,0,7,35.86
9.83,433,56,76,475,4,2,5,66.98
6.58,224,162,62,1996,4,0,2,55.83
7.86,368,197,38,653,5,0,2,55.23
9.8,308,75,32,1431,2,1,10,54.0
6.71,367,182,54,1630,3,1,3,57.47
6.41,137,128,29,1904,1,2,6,46.69
8.71,429,221,46,720,5,1,7,66.88
8.97,376,220,52,401,3,2,10,65.61
6.05,83,99,6,489,2,0,1,26.97
8.4,41,2,36,2305,4,0,9,50.01
9.54,157,150,40,109,2,0,4,43.53
9.22,369,144,1,874,4,3,6,60.04
7.19,134,12,80,1570,4,2,6,60.78
9.44,390,145,7,758,0,0,7,38.76
7.53,112,58,16,704,3,3,1,45.74
6.24,295,18,47,2429,2,0,8,46.45
7.08,146,62,43,1920,5,2,8,61.22
6.17,65,7,60,13,1,1,8,35.71
8.77,235,84,9,940,2,4,4,53.11
8.63,219,82,65,1902,3,1,3,58.09
7.75,461,153,26,1715,5,0,6,58.73
8.32,470,47,37,1441,2,0,1,45.24
7.13,111,42,76,391,2,3,7,54.28
6.46,319,149,6,1530,4,4,4,60.23
7.97,81,11,62,1841,3,0,5,48.16
9.51,45,258,10,2137,5,3,6,69.73
7.94,86,300,64,2164,0,4,4,66.91
7.58,272,125,73,2394,0,2,2,56.28
7.19,430,160,21,1945,0,4,2,55.38
7.07,12,265,64,1889,3,1,3,58.74
8.09,454,134,2,1499,2,0,4,43.17
7.31,292,255,63,1488,0,1,1,51.51
9.25,411,77,41,1339,5,3,1,67.95
6.58,283,146,21,1365,1,0,4,37.93
9.41,206,115,43,46,4,3,10,63.21
6.15,289,283,53,644,3,0,2,50.76
6.16,358,18,17,2397,2,4,7,56.04
8.22,225,52,14,620,0,3,1,38.98
9.16,235,60,36,2140,1,0,6,45.79
9.28,48,97,56,1538,0,4,9,59.36
6.43,270,22,50,1066,3,2,10,53.2
6.32,205,94,9,2329,1,0,7,37.18
6.61,199,244,47,1586,1,0,10,49.32
8.97,339,189,39,1565,5,0,1,60.0
8.12,474,57,15,1059,1,1,5,42.4
8.45,9,65,3,1113,3,1,3,38.91
6.9,172,29,36,1648,4,4,7,61.55
6.68,90,222,32,1165,4,1,2,51.09
9.21,292,215,76,1227,0,2,3,59.85
7.76,172,272,46,2081,1,3,8,64.35
6.37,422,273,45,1400,3,2,3,62.45
8.37,275,79,68,313,0,1,6,45.05
6.53,12,128,29,2081,3,4,1,56.63
9.32,246,74,75,79,2,1,4,51.66
7.98,315,170,15,877,2,2,8,51.62
6.62,322,275,62,2266,4,4,3,78.58
8.63,106,144,73,704,3,1,8,57.97
9.17,362,118,4,89,2,2,3,44.96
6.04,26,292,8,849,5,3,7,58.82
9.95,110,67,8,1363,0,0,8,35.29
7.38,192,142,6,1572,3,2,8,51.42
9.16,159,200,80,1624,0,3,2,62.61
9.61,12,53,78,794,2,0,7,48.83
6.15,63,61,63,1276,1,4,9,55.16
8.38,382,181,2,1366,0,3,5,49.7
9.0,336,111,56,475,4,2,9,64.22
8.26,193,102,15,2288,4,2,7,58.65
9.52,454,270,73,1599,3,2,4,75.69
6.75,51,234,12,1074,1,3,3,45.97
9.31,288,200,48,672,0,3,2,55.17
8.78,267,198,75,102,4,2,1,64.22
7.09,333,159,2,1121,3,1,4,45.48
9.8,330,216,14,1499,3,0,4,53.14
9.6,172,238,77,1906,4,4,9,85.03
6.29,50,26,37,2405,3,4,2,55.98
6.86,483,39,62,278,1,1,7,45.99
9.92,162,102,53,983,3,3,4,62.63
9.48,426,265,50,1883,2,3,3,72.03
8.84,355,241,62,1959,0,4,6,70.46
7.33,241,112,31,753,4,1,6,50.57
9.47,214,295,43,816,0,3,2,57.74
6.54,100,221,1,1718,3,0,7,43.08
7.06,256,232,6,977,4,3,10,60.78
9.1,411,22,60,409,1,3,10,57.79
6.89,95,223,61,2500,0,0,6,48.66
9.08,101,72,77,2011,2,4,2,67.14
8.75,24,63,19,1384,3,0,3,40.0
9.43,231,128,37,752,4,4,2,65.62
6.55,395,209,68,1310,1,3,4,62.02
8.82,9,98,3,828,0,3,3,38.33
6.44,435,50,13,1164,5,2,10,56.43
7.97,461,18,25,727,2,2,7,48.63
8.11,39,146,41,2093,0,0,7,42.24
8.85,384,105,76,1979,0,4,10,70.21
8.85,257,142,28,681,3,2,2,52.97
6.22,45,203,51,660,1,0,10,41.48
9.53,424,221,14,2008,2,4,4,68.34
9.67,332,143,65,2207,4,2,9,75.39
6.61,229,215,16,590,1,0,9,38.34
6.71,335,285,35,1850,4,1,5,62.39
8.77,285,36,42,683,0,3,2,46.4
9.01,278,88,31,2327,2,2,4,56.61
8.59,347,179,10,1020,2,4,4,58.85
7.93,292,261,30,2133,2,1,9,59.38
7.69,419,267,69,414,3,3,1,68.11
8.87,265,78,62,1181,0,0,8,45.45
7.69,205,281,76,711,4,1,9,67.24
7.69,431,190,62,912,3,3,2,66.4
9.44,288,16,75,446,3,1,10,57.72
8.64,496,144,0,2064,4,0,6,54.23
6.07,459,164,3,2098,3,3,7,58.75
7.38,353,141,14,497,3,0,3,41.16
6.24,57,300,13,886,5,0,7,49.87
7.83,205,212,72,786,4,2,3,65.06
9.89,84,296,18,757,2,2,2,53.87
9.46,471,108,50,1173,4,2,3,65.84
7.46,301,190,57,1641,3,1,10,62.34
6.16,248,289,75,312,3,0,6,55.16
9.07,434,72,56,1789,2,4,5,69.12
8.9,75,90,60,23,2,3,3,52.69
9.69,473,64,15,744,4,0,5,49.8
7.7,299,15,4,1996,1,3,1,44.27
6.77,280,79,42,1390,5,2,3,58.62
6.82,237,278,45,1046,1,3,8,59.42
9.74,414,86,74,520,1,1,10,57.25
9.83,268,141,42,179,0,2,1,46.18
8.48,285,204,38,115,0,0,5,39.77
9.82,410,216,1,907,4,2,2,59.16
7.6,308,21,73,1598,3,4,8,69.05
6.44,213,173,69,144,5,3,8,66.97
9.61,24,237,57,986,1,1,4,52.47
9.87,103,275,31,1275,1,3,9,62.05
7.08,251,206,12,2062,4,3,4,62.16
9.21,280,251,80,2427,5,3,6,86.9
8.27,438,256,47,2106,3,1,4,65.77
9.32,195,219,50,2137,2,0,4,56.44
7.51,330,173,15,1226,4,0,7,50.44
8.53,54,26,38,154,5,3,9,57.45
7.89,131,281,14,765,1,3,9,53.55
8.02,167,72,74,2112,5,3,10,75.16
8.02,476,123,9,1231,2,0,8,45.19
9.37,347,96,34,1579,5,1,6,62.57
8.44,61,249,78,1865,2,2,8,67.4
6.29,22,204,69,1708,0,4,8,59.86
6.18,218,200,21,1780,3,3,5,57.66
9.52,79,41,57,56,0,3,9,48.61
9.76,476,174,59,1836,2,3,6,72.75
8.36,460,198,28,928,3,3,8,65.21
7.18,174,82,57,1179,0,0,4,37.83
8.84,261,32,37,655,5,0,1,48.19
7.03,213,111,22,60,4,2,8,49.77
7.65,164,215,78,1780,3,2,2,65.77
9.95,447,284,19,1466,5,2,10,75.34
8.82,154,233,66,1945,3,3,8,73.83
7.54,37,131,53,1245,0,2,5,45.83
8.54,117,56,4,1266,4,1,9,47.26
7.32,398,223,24,646,4,0,3,50.51
8.24,342,292,69,1457,2,0,7,61.9
6.37,8,91,50,523,2,0,10,38.97
6.17,471,105,27,697,4,1,5,50.18
7.95,375,67,6,2117,3,4,3,59.67
9.28,71,124,73,1938,4,3,9,73.85
8.64,296,115,48,524,0,3,5,51.46
8.95,418,113,61,2170,0,4,1,64.73
8.29,298,81,56,1238,4,2,4,61.54
6.29,434,151,21,698,2,4,8,57.29
6.49,468,227,4,2244,4,0,7,54.77
8.83,123,28,38,122,2,2,9,46.36
7.1,153,273,2,2124,4,4,5,65.94
6.51,453,160,7,1549,4,2,8,57.68
9.18,469,94,61,1223,1,4,1,64.45
8.1,314,117,34,136,4,3,10,61.07
8.42,397,254,55,371,4,3,2,69.4
6.76,94,31,42,659,3,2,3,44.77
6.75,192,170,79,2220,2,0,3,54.56
9.33,319,127,74,976,1,3,8,64.87
7.61,408,57,60,1143,0,4,2,55.85
6.46,406,100,2,934,2,2,1,41.53
7.3,250,85,80,1457,4,0,8,58.83
6.28,281,250,5,196,1,0,7,35.28
9.31,452,192,33,687,4,1,2,59.22
8.53,273,9,22,1255,5,4,2,61.93
7.72,449,63,54,1226,4,4,6,70.17
9.08,295,267,67,253,1,3,7,64.88
9.02,71,70,77,2425,3,0,1,55.61
7.71,90,230,10,2364,0,4,6,55.39
7.02,260,72,79,1670,5,2,5,67.57
7.78,199,243,36,646,1,2,4,50.3
6.22,414,95,24,2097,1,3,2,51.0
8.98,99,128,19,546,4,4,2,58.41
7.47,107,254,43,1571,0,1,1,45.41
6.16,388,106,59,1595,0,2,6,50.71
8.99,136,35,75,587,3,4,2,62.97
6.32,426,21,74,1261,0,1,2,43.96
9.15,231,284,1,1216,3,4,7,65.91
6.94,226,150,60,854,2,0,4,46.16
8.33,296,117,23,1998,0,4,6,56.38
6.55,245,41,55,2094,0,1,2,42.1
9.67,25,167,52,286,4,2,2,57.81
8.56,163,101,26,724,1,4,1,50.04
6.82,408,204,7,1251,5,0,9,54.14
9.84,2,129,56,652,5,4,1,68.48
7.17,103,68,27,223,5,0,4,41.66
8.57,7,96,25,233,2,3,8,47.96
6.55,303,139,53,1806,1,1,7,50.92
8.16,189,260,77,1583,3,2,8,71.01
7.76,446,87,71,1871,4,1,4,64.68
7.16,421,63,73,1355,0,2,10,55.18
7.82,42,178,20,23,3,1,8,44.02
9.94,130,254,8,1984,4,1,1,57.81
9.48,81,101,8,2131,2,0,6,43.32
9.81,442,86,21,202,5,0,2,50.88
8.33,340,168,63,483,1,1,9,53.81
9.63,337,273,28,1480,2,0,9,57.24
9.37,407,153,72,1844,5,4,3,83.75
9.49,86,270,37,2497,4,4,1,75.58
6.72,477,123,54,1798,4,4,1,70.81
7.94,259,63,18,336,4,2,2,47.76
9.37,443,132,65,1948,3,1,7,67.34
8.09,398,176,8,181,4,2,4,53.31
9.81,186,120,66,1550,3,3,10,71.22
9.31,130,37,4,2039,4,0,7,46.59
7.45,11,255,52,809,4,0,3,51.76
6.13,31,62,57,268,0,0,6,30.0
6.86,280,242,45,616,0,0,9,43.28
8.82,52,159,54,266,3,2,8,56.52
9.29,491,272,17,391,0,4,10,62.07
8.63,323,203,42,2484,0,4,3,64.86
7.44,492,136,31,1091,1,4,6,59.37
7.19,405,85,54,767,2,2,1,51.45
6.02,1,156,29,672,1,3,6,43.67
6.55,458,219,80,2010,0,4,4,69.23
9.9,292,60,60,1219,0,2,1,51.0
9.93,428,229,49,1116,3,2,4,68.02
8.28,453,32,15,663,4,4,9,62.05
7.62,125,229,46,1037,0,4,9,58.67
6.32,63,10,16,1192,1,4,4,41.82
7.25,295,114,58,199,0,1,6,42.2
6.94,147,43,29,1952,1,1,10,42.95
9.16,147,150,46,33,3,4,9,63.93
8.76,53,54,36,74,1,1,3,35.82
7.34,367,119,66,85,0,1,5,44.28
7.85,424,226,53,784,5,2,3,68.6
8.67,317,260,62,2127,1,3,8,71.19
6.2,448,46,25,834,0,4,1,44.93
6.8,331,63,72,160,0,2,2,44.06
8.25,476,214,38,662,1,4,8,64.45
6.96,423,35,64,1054,3,2,2,55.8
8.87,67,281,49,2167,3,1,8,64.66
9.2,44,11,16,14,5,4,6,55.6
8.53,414,174,10,45,4,0,10,49.7
8.87,174,80,16,234,4,4,6,57.66
9.45,287,208,30,1779,5,4,4,76.55
8.18,25,105,63,296,2,2,8,51.46
7.44,290,90,3,51,2,2,10,42.39
9.67,212,74,2,2344,2,3,1,53.19
6.27,488,101,5,89,5,4,6,58.68
7.68,94,109,22,1514,1,3,5,48.16
8.74,335,23,63,1753,0,3,3,55.33
7.12,373,300,48,136,1,2,8,56.25
6.45,336,233,12,2106,3,1,3,52.52
8.02,105,258,13,48,4,0,7,46.17
6.56,0,277,72,559,1,3,1,54.69
6.28,161,47,73,885,5,4,6,67.24
7.39,43,36,72,2192,0,1,9,47.43
6.0,478,196,3,282,5,2,9,56.18
6.4,316,32,34,1931,3,0,2,43.23
6.9,133,218,58,130,0,2,6,46.54
6.7,4,40,71,45,4,4,8,59.56
7.4,436,261,40,167,0,3,8,55.63
8.51,265,121,55,828,4,2,7,62.72
9.06,171,133,60,1101,3,4,7,69.33
9.7,232,133,24,330,2,0,6,43.25
6.6,122,20,10,462,3,0,2,29.67
7.33,479,205,56,1301,3,0,4,57.23
7.45,246,6,33,1441,0,2,1,39.03
7.79,388,60,35,1771,1,2,1,48.83
9.82,419,33,26,1249,4,1,10,58.29
9.05,119,157,78,1916,3,3,3,70.32
9.84,436,209,40,1216,2,4,4,70.38
7.2,128,230,21,1240,4,3,5,60.3
9.34,140,215,72,263,2,3,6,64.32
9.63,6,230,0,1346,3,4,3,59.44
7.54,224,254,75,2130,2,0,5,59.91
6.46,90,143,19,589,2,1,5,38.25
7.36,430,241,39,677,0,0,10,46.26
7.25,67,27,24,396,3,0,9,36.24
8.75,426,299,75,1642,5,4,5,89.41
6.09,68,297,31,1605,4,4,10,69.38
6.2,422,203,32,237,4,0,1,46.72
7.87,484,140,58,2336,1,0,6,55.3
7.86,2,10,31,2044,0,2,4,39.64
7.36,120,189,6,2244,3,3,1,55.05
9.7,312,252,60,1121,5,3,1,76.96
7.12,187,150,58,2413,1,4,6,64.76
8.88,57,205,17,82,1,2,10,45.89
9.37,392,215,13,2383,1,4,8,67.58
7.02,355,66,16,912,1,2,5,42.01
9.73,464,230,61,2074,3,0,10,69.82
6.7,262,166,25,1245,0,0,6,36.9
7.98,61,177,11,393,1,0,8,34.65
7.1,88,208,48,1114,3,3,9,62.13
7.72,230,214,25,1924,4,0,3,53.56
6.61,46,65,43,1384,1,0,10,38.15
9.85,144,185,27,2412,5,1,6,65.86
8.65,379,22,73,1537,5,1,1,63.33
9.92,242,95,68,2356,3,0,1,59.19
6.34,151,272,52,463,1,1,4,46.33
6.01,347,97,25,2379,1,4,7,57.16
6.74,445,110,32,1150,3,4,1,60.1
6.23,388,74,33,955,4,1,7,50.89
9.73,274,134,45,528,4,2,9,63.75
9.39,127,286,36,1017,5,0,6,61.07
8.87,262,85,79,561,2,4,2,64.39
8.27,45,255,55,2383,5,4,3,78.8
6.69,255,270,63,1562,4,2,4,67.82
9.8,383,170,8,1158,3,3,7,62.41
7.01,283,21,49,1486,4,1,5,52.77
7.99,33,66,11,1040,0,2,5,35.37
6.76,419,90,13,661,1,0,8,35.91
8.31,384,93,15,1078,1,0,10,41.61
9.17,12,275,29,1757,4,4,9,73.5
7.82,32,174,47,2335,4,3,2,65.51
8.48,109,217,45,894,5,2,1,62.4
9.93,174,145,56,2080,1,2,2,58.76
7.18,251,135,59,1741,2,0,4,49.8
9.77,100,69,66,1103,2,2,7,57.69
7.44,172,234,35,1427,5,4,6,72.26
6.74,146,223,41,1922,3,3,3,61.86
9.56,478,298,32,1245,1,3,6,66.92
7.93,39,110,78,1160,4,0,5,54.65
9.21,241,274,55,1712,3,2,10,71.9
6.6,277,72,76,888,4,1,8,58.06
9.34,471,188,18,1774,1,2,6,57.71
6.39,221,122,20,1686,2,0,9,42.19
9.65,395,106,51,176,1,4,4,60.13
6.02,259,77,66,882,5,0,5,52.67
8.35,219,78,56,805,1,4,7,58.54
6.14,498,108,57,2098,1,1,10,55.4
6.7,477,144,77,1661,0,2,4,57.37
8.62,239,226,74,2278,4,1,4,70.84
6.92,163,145,28,1870,4,0,1,47.48
9.49,60,269,58,323,1,2,8,57.37
6.67,271,80,72,1031,3,1,2,52.25
8.42,493,282,44,510,3,3,10,71.55
6.37,451,55,27,717,5,4,2,61.09
8.38,420,154,45,2443,1,0,3,52.35
8.84,398,130,7,2393,5,2,6,65.63
7.42,211,89,71,10,1,3,4,51.38
8.52,424,57,39,672,1,2,9,51.1
9.77,203,16,49,855,3,2,6,55.54
9.24,195,131,42,1347,3,1,9,57.35
9.3,483,46,47,1969,4,2,1,64.86
8.27,383,72,75,843,3,3,5,65.73
6.01,135,295,6,799,5,1,2,50.05
7.86,443,281,4,2301,2,1,1,54.25
7.23,199,224,64,2458,0,3,6,62.69
7.75,267,171,60,1088,4,2,9,66.21
8.55,227,300,31,1637,4,0,2,58.09
